date	new_cases	county	source	outbreak	cumulative_cases
2026-09-02	2	Centre	Scrape of PDOH measles webpage	2	17
2026-09-02	2	Chester	Scrape of PDOH measles webpage	2	51
2026-09-02	1	Clarion	Scrape of PDOH measles webpage	2	3
2026-09-02	2	Clearfield	Scrape of PDOH measles webpage	2	12
2026-09-02	1	Dauphin	Scrape of PDOH measles webpage	2	4
2026-09-02	1	Indiana	Scrape of PDOH measles webpage	2	9
2026-09-02	5	Jefferson	Scrape of PDOH measles webpage	2	23
2026-09-02	15	Lancaster	Scrape of PDOH measles webpage	2	234
2026-09-02	2	McKean	Scrape of PDOH measles webpage	2	2
2026-09-02	1	Mercer	Scrape of PDOH measles webpage	2	4
2026-09-02	6	Mifflin	Scrape of PDOH measles webpage	2	49
2026-09-02	1	Snyder	Scrape of PDOH measles webpage	2	23
2026-09-02	1	Somerset	Scrape of PDOH measles webpage	2	6
2026-09-02	1	Warren	Scrape of PDOH measles webpage	2	4
2026-09-02	1	York	Scrape of PDOH measles webpage	2	20
2026-09-04	1	Cambria	Scrape of PDOH measles webpage	2	1
2026-09-04	4	Chester	Scrape of PDOH measles webpage	2	55
2026-09-04	2	Clarion	Scrape of PDOH measles webpage	2	5
2026-09-04	2	Clinton	Scrape of PDOH measles webpage	2	4
2026-09-04	1	Indiana	Scrape of PDOH measles webpage	2	10
2026-09-04	1	Jefferson	Scrape of PDOH measles webpage	2	24
2026-09-04	4	Lancaster	Scrape of PDOH measles webpage	2	238
2026-09-04	1	McKean	Scrape of PDOH measles webpage	2	3
2026-09-04	8	Mifflin	Scrape of PDOH measles webpage	2	57
2026-09-04	2	Potter	Scrape of PDOH measles webpage	2	6
2026-09-04	1	Snyder	Scrape of PDOH measles webpage	2	24
2026-09-04	6	Somerset	Scrape of PDOH measles webpage	2	12
2026-09-04	2	Warren	Scrape of PDOH measles webpage	2	6
2026-09-04	2	York	Scrape of PDOH measles webpage	2	22
2026-09-08	6	Lancaster	Scrape of PDOH measles webpage	2	244
2026-09-08	1	McKean	Scrape of PDOH measles webpage	2	4
2026-09-08	9	Mifflin	Scrape of PDOH measles webpage	2	66
2026-09-08	1	York	Scrape of PDOH measles webpage	2	23
