date	county	new_cases	cumulative_cases	cumulative_outbreak_cases	source	outbreak
2026-08-19	Snyder	6	12	12	Scrape of PDOH measles webpage	2
2026-08-19	Somerset	1	1	1	Scrape of PDOH measles webpage	2
2026-08-19	Union	1	1	1	Scrape of PDOH measles webpage	2
2026-08-19	Warren	1	1	1	Scrape of PDOH measles webpage	2
2026-08-21	Centre	3	13	13	Scrape of PDOH measles webpage	2
2026-08-21	Chester	3	41	40	Scrape of PDOH measles webpage	2
2026-08-21	Clearfield	1	8	8	Scrape of PDOH measles webpage	2
2026-08-21	Elk	3	4	4	Scrape of PDOH measles webpage	2
2026-08-21	Jefferson	4	11	11	Scrape of PDOH measles webpage	2
2026-08-21	Lancaster	14	181	173	Scrape of PDOH measles webpage	2
2026-08-21	Mifflin	6	25	25	Scrape of PDOH measles webpage	2
2026-08-21	Snyder	1	13	13	Scrape of PDOH measles webpage	2
2026-08-21	Somerset	2	3	3	Scrape of PDOH measles webpage	2
2026-08-21	Venango	1	1	1	Scrape of PDOH measles webpage	2
2026-08-21	Warren	1	2	2	Scrape of PDOH measles webpage	2
2026-08-24	Centre	1	14	14	Scrape of PDOH measles webpage	2
2026-08-24	Clearfield	1	9	9	Scrape of PDOH measles webpage	2
2026-08-24	Clinton	1	2	2	Scrape of PDOH measles webpage	2
2026-08-24	Jefferson	1	12	12	Scrape of PDOH measles webpage	2
2026-08-24	Lancaster	4	185	177	Scrape of PDOH measles webpage	2
2026-08-24	Mercer	1	2	2	Scrape of PDOH measles webpage	2
2026-08-24	Mifflin	4	29	29	Scrape of PDOH measles webpage	2
2026-08-24	Potter	1	1	1	Scrape of PDOH measles webpage	2
2026-08-26	Jefferson	3	15	15	Scrape of PDOH measles webpage	2
2026-08-26	Lancaster	12	197	189	Scrape of PDOH measles webpage	2
2026-08-26	Lycoming	1	2	2	Scrape of PDOH measles webpage	2
2026-08-26	Mifflin	8	37	37	Scrape of PDOH measles webpage	2
2026-08-26	Snyder	4	17	17	Scrape of PDOH measles webpage	2
2026-08-26	Somerset	1	4	4	Scrape of PDOH measles webpage	2
2026-08-26	Warren	1	3	3	Scrape of PDOH measles webpage	2
2026-08-26	Westmoreland	1	1	1	Scrape of PDOH measles webpage	2
2026-08-28	Centre	1	15	15	Scrape of PDOH measles webpage	2
2026-08-28	Chester	2	43	42	Scrape of PDOH measles webpage	2
2026-08-28	Franklin	1	1	1	Scrape of PDOH measles webpage	2
2026-08-28	Jefferson	1	16	16	Scrape of PDOH measles webpage	2
2026-08-28	Lancaster	13	210	202	Scrape of PDOH measles webpage	2
2026-08-28	Lycoming	1	3	3	Scrape of PDOH measles webpage	2
